County Code,ALAND_SQMI
1001,594.444
1003,1589.823
1005,885.008
1007,622.461
1009,644.831
1011,622.812
1013,776.839
1015,605.87
1017,596.561
1019,553.525
1021,692.852
1023,913.467
1025,1238.42
1027,603.961
1029,560.104
1031,678.986
1033,592.745
1035,850.2
1037,650.911
1039,1030.559
1041,608.865
1043,734.741
1045,561.101
1047,978.738
1049,777.099
1051,618.446
1053,945.223
1055,535.088
1057,627.684
1059,633.919
1061,574.481
1063,647.023
1065,643.987
1067,561.75
1069,579.856
1071,1077.987
1073,1111.415
1075,604.846
1077,668.013
1079,690.684
1081,607.537
1083,559.955
1085,715.911
1087,608.827
1089,801.591
1091,976.893
1093,742.342
1095,565.845
1097,1229.41
1099,1025.669
1101,785.339
1103,579.6
1105,719.656
1107,881.345
1109,672.068
1111,580.549
1113,641.17
1115,631.581
1117,785.384
1119,903.826
1121,736.796
1123,716.522
1125,1320.859
1127,791.002
1129,1080.206
1131,888.45
1133,612.981
2013,6985.168
2016,4394.448
2020,1706.8
2050,40630.621
2060,481.981
2068,12636.961
2070,18331.641
2090,7329.588
2100,2344.527
2105,6556.473
2110,2703.976
2122,16023.191
2130,4856.925
2150,6615.364
2158,17074.217
2164,23904.724
2170,24714.116
2180,22970.019
2185,88824.445
2188,35663.959
2195,2900.654
2198,5263.768
2220,2870.015
2230,433.933
2240,24822.785
2261,34221.861
2275,2555.995
2282,7623.278
2290,145575.515
4001,11197.749
4003,6209.749
4005,18616.784
4007,4757.996
4009,4621.877
4011,1842.141
4012,4496.358
4013,9200.669
4015,13331.861
4017,9950.053
4019,9188.69
4021,5366.047
4023,1236.235
4025,8123.098
4027,5513.839
5001,988.813
5003,925.359
5005,554.251
5007,847.901
5009,589.995
5011,649.236
5013,628.565
5015,630.051
5017,644.727
5019,866.077
5021,639.468
5023,553.701
5025,597.779
5027,765.983
5029,552.276
5031,707.303
5033,593.767
5035,610.382
5037,616.382
5039,667.386
5041,768.135
5043,828.378
5045,647.957
5047,608.848
5049,618.188
5051,677.619
5053,631.812
5055,577.688
5057,727.521
5059,615.29
5061,588.567
5063,764.025
5065,580.595
5067,633.837
5069,870.052
5071,659.841
5073,528.295
5075,587.614
5077,602.621
5079,561.541
5081,532.246
5083,708.272
5085,771.374
5087,834.259
5089,596.957
5091,625.732
5093,900.576
5095,607.133
5097,779.92
5099,617.843
5101,820.904
5103,732.783
5105,551.559
5107,695.628
5109,600.625
5111,758.362
5113,857.48
5115,812.516
5117,647.869
5119,758.436
5121,652.224
5123,634.759
5125,723.574
5127,892.366
5129,666.009
5131,531.169
5133,565.305
5135,604.405
5137,606.472
5139,1039.254
5141,709.75
5143,941.977
5145,1035.074
5147,586.786
5149,930.104
6001,737.306
6003,738.34
6005,594.572
6007,1636.489
6009,1019.999
6011,1150.713
6013,717.08
6015,1006.228
6017,1707.846
6019,5958.383
