County Code,Lic Cnty
10001,18
10003,51
10005,68
1001,21
10011,1
10015,1
1003,55
1005,9
10065,1
1007,4
1009,17
1011,3
1013,8
1015,47
1017,11
1019,12
1021,12
1023,4
1025,13
1027,6
1029,4
1031,16
1033,15
1035,3
1037,4
1039,23
1041,8
1043,28
1045,20
1047,9
1049,28
1051,27
1053,17
1055,27
1057,6
1059,13
1061,10
1063,1
1067,7
1069,25
1071,25
1073,108
1075,4
1077,25
1079,9
1081,34
1083,41
1085,3
1087,2
1089,137
1091,7
1093,22
1095,31
1097,88
1099,8
11000,7
1101,32
1103,40
1105,3
1107,4
1109,13
1111,10
1113,12
1115,24
1117,57
1119,5
1121,31
1123,12
1125,28
1127,20
1129,7
1131,7
1133,7
12001,69
12003,9
12005,65
12007,8
12009,155
12011,223
12013,18
12015,38
12017,53
12019,43
12021,49
12023,17
12025,223
12027,8
12029,7
12031,130
12033,61
12035,22
12037,3
12039,19
12041,10
12043,2
12045,9
12047,3
12049,10
12051,13
12053,36
12055,38
12057,169
12059,8
12061,40
12063,22
12065,6
12067,3
12069,80
12071,140
12073,64
12075,23
12077,2
12079,3
12081,72
12083,99
12085,47
12087,30
12089,22
12091,82
12093,25
12095,151
12097,43
12099,179
12101,112
12103,202
12105,103
12107,22
12109,47
12111,71
12113,59
12115,77
12117,77
12119,17
12121,22
12123,10
12127,123
12129,13
12131,21
12133,10
12151,1
12157,1
12199,3
12299,1
12439,1
12800,1
13001,16
13003,4
13005,5
13009,11
13011,6
13013,19
13015,38
13017,8
13019,9
13021,25
13023,10
13025,7
13027,5
13029,18
13031,19
13033,6
13035,8
13037,1
13039,16
13043,3
13045,33
13047,17
13049,10
13051,39
13053,2
13055,10
13057,46
13059,24
13063,16
13065,5
13067,100
13069,11
13071,13
13073,23
13075,5
13077,33
13079,4
13081,3
13083,12
13085,13
13087,9
13089,32
13091,5
13093,4
13095,19
13097,20
13099,5
13103,21
13105,9
13107,10
13109,10
13111,14
13113,31
13115,27
13117,39
13119,7
13121,60
13123,19
13127,45
13129,19
13131,10
13133,4
13135,102
13137,14
13139,39
13141,1
13143,13
13145,5
13147,10
13149,10
13151,22
13153,32
13155,5
13157,31
13159,6
13161,8
13163,4
13165,2
13167,4
13169,13
13171,5
13173,1
13175,10
13177,9
13179,12
13181,2
13183,4
13185,17
13187,14
13189,7
13191,5
13193,1
13195,21
13197,6
13199,14
13201,3
13205,10
13207,11
13209,2
