State,County,# Mental Health Providers
Alabama,Autauga,9
Alabama,Baldwin,194
Alabama,Barbour,2
Alabama,Bibb,2
Alabama,Blount,6
Alabama,Bullock,1
Alabama,Butler,7
Alabama,Calhoun,113
Alabama,Chambers,2
Alabama,Cherokee,5
Alabama,Chilton,18
Alabama,Choctaw,
Alabama,Clarke,16
Alabama,Clay,2
Alabama,Cleburne,6
Alabama,Coffee,28
Alabama,Colbert,17
Alabama,Conecuh,8
Alabama,Coosa,1
Alabama,Covington,22
Alabama,Crenshaw,7
Alabama,Cullman,99
Alabama,Dale,40
Alabama,Dallas,19
Alabama,DeKalb,16
Alabama,Elmore,9
Alabama,Escambia,18
Alabama,Etowah,109
Alabama,Fayette,2
Alabama,Franklin,4
Alabama,Geneva,4
Alabama,Greene,1
Alabama,Hale,2
Alabama,Henry,3
Alabama,Houston,138
Alabama,Jackson,23
Alabama,Jefferson,"1,026"
Alabama,Lamar,2
Alabama,Lauderdale,135
Alabama,Lawrence,39
Alabama,Lee,131
Alabama,Limestone,38
Alabama,Lowndes,
Alabama,Macon,73
Alabama,Madison,470
Alabama,Marengo,6
Alabama,Marion,3
Alabama,Marshall,220
Alabama,Mobile,345
Alabama,Monroe,15
Alabama,Montgomery,274
Alabama,Morgan,159
Alabama,Perry,3
Alabama,Pickens,3
Alabama,Pike,12
Alabama,Randolph,5
Alabama,Russell,21
Alabama,Shelby,150
Alabama,St. Clair,13
Alabama,Sumter,2
Alabama,Talladega,11
Alabama,Tallapoosa,10
Alabama,Tuscaloosa,255
Alabama,Walker,30
Alabama,Washington,3
Alabama,Wilcox,1
Alabama,Winston,1
Alaska,Aleutians East,2
Alaska,Aleutians West,5
Alaska,Anchorage,"1,036"
Alaska,Bethel,362
Alaska,Bristol Bay,0
Alaska,Denali,
Alaska,Dillingham,34
Alaska,Fairbanks North Star,521
Alaska,Haines,8
Alaska,Hoonah-Angoon,6
Alaska,Juneau,194
Alaska,Kenai Peninsula,96
Alaska,Ketchikan Gateway,35
Alaska,Kodiak Island,39
Alaska,Kusilvak,10
Alaska,Lake and Peninsula,1
Alaska,Matanuska-Susitna,127
Alaska,Nome,88
Alaska,North Slope,5
Alaska,Northwest Arctic,74
Alaska,Petersburg,11
Alaska,Prince of Wales-Hyder,5
Alaska,Sitka,127
Alaska,Skagway,1
Alaska,Southeast Fairbanks,8
Alaska,Valdez-Cordova,6
Alaska,Wrangell,7
Alaska,Yakutat,3
Alaska,Yukon-Koyukuk,5
Arizona,Apache,62
Arizona,Cochise,149
Arizona,Coconino,279
Arizona,Gila,31
Arizona,Graham,15
Arizona,Greenlee,1
Arizona,La Paz,23
Arizona,Maricopa,"5,485"
Arizona,Mohave,144
Arizona,Navajo,82
Arizona,Pima,"1,770"
Arizona,Pinal,300
Arizona,Santa Cruz,16
Arizona,Yavapai,405
Arizona,Yuma,112
Arkansas,Arkansas,19
Arkansas,Ashley,15
Arkansas,Baxter,118
Arkansas,Benton,581
Arkansas,Boone,38
Arkansas,Bradley,3
Arkansas,Calhoun,
