County,County Code,Deaths,Population
"Autauga County, AL",1001,53,276908
"Baldwin County, AL",1003,200,1020551
"Barbour County, AL",1005,15,131687
"Bibb County, AL",1007,19,112912
"Blount County, AL",1009,48,288981
"Butler County, AL",1013,12,100538
"Calhoun County, AL",1015,112,577611
"Chambers County, AL",1017,39,169917
"Cherokee County, AL",1019,26,129681
"Chilton County, AL",1021,31,219833
"Choctaw County, AL",1023,10,65857
"Clarke County, AL",1025,19,123302
"Clay County, AL",1027,15,67452
"Cleburne County, AL",1029,13,74916
"Coffee County, AL",1031,36,256158
"Colbert County, AL",1033,42,272133
"Coosa County, AL",1037,13,53843
"Covington County, AL",1039,29,188185
"Cullman County, AL",1043,91,409331
"Dale County, AL",1045,35,247385
"Dallas County, AL",1047,25,204061
"DeKalb County, AL",1049,61,355725
"Elmore County, AL",1051,80,406823
"Escambia County, AL",1053,37,188680
"Etowah County, AL",1055,83,515838
"Fayette County, AL",1057,23,83556
"Franklin County, AL",1059,28,157952
"Geneva County, AL",1061,19,133251
"Hale County, AL",1065,10,75422
"Henry County, AL",1067,18,86018
"Houston County, AL",1069,73,520436
"Jackson County, AL",1071,69,262082
"Jefferson County, AL",1073,449,3299357
"Lauderdale County, AL",1077,70,463345
"Lawrence County, AL",1079,30,166472
"Lee County, AL",1081,94,782776
"Limestone County, AL",1083,61,458450
"Macon County, AL",1087,10,95936
"Madison County, AL",1089,293,1768293
"Marion County, AL",1093,28,150604
"Marshall County, AL",1095,87,474826
"Mobile County, AL",1097,317,2073388
"Monroe County, AL",1099,15,108713
"Montgomery County, AL",1101,128,1132362
"Morgan County, AL",1103,118,596789
"Pike County, AL",1109,21,166327
"Randolph County, AL",1111,26,113284
"Russell County, AL",1113,46,294070
"St. Clair County, AL",1115,81,436297
"Shelby County, AL",1117,150,1043775
"Talladega County, AL",1121,74,403448
"Tallapoosa County, AL",1123,34,204620
"Tuscaloosa County, AL",1125,113,1020922
"Walker County, AL",1127,77,325788
"Washington County, AL",1129,14,83802
"Winston County, AL",1133,21,119700
"Anchorage Borough, AK",2020,330,1493203
"Bethel Census Area, AK",2050,38,89616
"Fairbanks North Star Borough, AK",2090,111,499732
"Juneau Borough, AK",2110,34,162384
"Kenai Peninsula Borough, AK",2122,84,289806
"Ketchikan Gateway Borough, AK",2130,13,68827
"Kodiak Island Borough, AK",2150,12,69190
"Matanuska-Susitna Borough, AK",2170,112,505066
"Nome Census Area, AK",2180,34,49393
"North Slope Borough, AK",2185,15,48464
"Northwest Arctic Borough, AK",2188,20,38511
"Valdez-Cordova Census Area, AK",2261,14,47246
"Wade Hampton Census Area, AK",2270,51,40357
"Yukon-Koyukuk Census Area, AK",2290,16,27666
"Apache County, AZ",4001,119,359954
"Cochise County, AZ",4003,158,633874
"Coconino County, AZ",4005,156,695002
"Gila County, AZ",4007,87,266388
"Graham County, AZ",4009,42,188170
"La Paz County, AZ",4012,39,101625
"Maricopa County, AZ",4013,3317,20814580
"Mohave County, AZ",4015,366,1023577
"Navajo County, AZ",4017,156,542682
"Pima County, AZ",4019,972,5050070
"Pinal County, AZ",4021,323,2046629
"Santa Cruz County, AZ",4023,22,232121
"Yavapai County, AZ",4025,379,1109962
"Yuma County, AZ",4027,131,1021888
"Arkansas County, AR",5001,15,91985
